Trial	Temperature	ISI	Rating	X1	Y1	X2	Y2	Lasershot1	Lasershot2	Experiment	Subject	temp_65
1	40.0	1.0	37.0	36	20	36	30	1	1	Calibration_part1	es09	n/a
2	42.0	1.0	46.0	0	40	0	50	1	1	Calibration_part1	es09	n/a
3	44.0	1.0	45.0	48	20	48	30	1	1	Calibration_part1	es09	n/a
4	46.0	1.0	37.0	12	0	12	10	1	1	Calibration_part1	es09	n/a
5	48.0	1.0	46.0	0	0	0	10	1	1	Calibration_part1	es09	n/a
6	50.0	1.0	47.0	24	30	24	40	1	1	Calibration_part1	es09	n/a
7	51.0	1.0	59.0	24	0	24	10	1	1	Calibration_part1	es09	n/a
8	52.0	1.0	61.0	36	40	36	50	1	1	Calibration_part1	es09	n/a
9	53.0	1.0	64.0	36	0	36	10	1	1	Calibration_part1	es09	n/a
10	54.0	1.0	69.0	48	40	48	50	1	1	Calibration_part1	es09	n/a
11	55.0	1.0	66.0	0	20	0	30	1	1	Calibration_part1	es09	n/a
12	56.0	1.0	57.0	24	20	24	30	1	1	Calibration_part1	es09	n/a
13	57.0	1.0	69.0	48	0	48	10	1	1	Calibration_part1	es09	n/a
14	58.0	1.0	70.0	0	40	0	50	1	1	Calibration_part1	es09	n/a
15	59.0	1.0	67.0	48	40	48	50	1	1	Calibration_part1	es09	n/a
1	47.7	1.0	45.0	12	20	12	30	1	1	Calibration_part2	es09	59.1
2	59.0	1.0	64.0	36	20	36	30	1	1	Calibration_part2	es09	59.1
3	59.0	1.0	59.0	0	40	0	50	1	1	Calibration_part2	es09	59.1
4	54.0	1.0	n/a	0	0	0	10	1	0	Calibration_part2	es09	59.1
5	50.2	1.0	41.0	24	20	24	30	1	1	Calibration_part2	es09	59.1
6	54.0	1.0	55.0	48	0	48	10	1	1	Calibration_part2	es09	59.1
7	55.2	1.0	59.0	36	40	36	50	1	1	Calibration_part2	es09	59.1
8	49.0	1.0	40.0	0	20	0	30	1	1	Calibration_part2	es09	59.1
9	56.5	1.0	46.0	48	40	48	50	1	1	Calibration_part2	es09	59.1
10	52.7	1.0	46.0	36	0	36	10	1	1	Calibration_part2	es09	59.1
11	57.7	1.0	66.0	12	0	12	10	1	1	Calibration_part2	es09	59.1
12	49.0	1.0	41.0	24	40	24	50	1	1	Calibration_part2	es09	59.1
13	51.5	1.0	60.0	48	20	48	30	1	1	Calibration_part2	es09	59.1
14	57.7	1.0	65.0	12	20	12	30	1	1	Calibration_part2	es09	59.1
15	56.5	1.0	67.0	36	20	36	30	1	1	Calibration_part2	es09	59.1
16	51.5	1.0	53.0	12	40	12	50	1	1	Calibration_part2	es09	59.1
17	50.2	1.0	41.0	48	0	48	10	1	1	Calibration_part2	es09	59.1
18	52.7	1.0	60.0	24	0	24	10	1	1	Calibration_part2	es09	59.1
19	47.7	1.0	35.0	0	20	0	30	1	1	Calibration_part2	es09	59.1
20	55.2	1.0	54.0	24	20	24	30	1	1	Calibration_part2	es09	59.1
