Trial	Temperature	ISI	Rating	X1	Y1	X2	Y2	Lasershot1	Lasershot2	Experiment	Subject	temp_65
1	53.0	1.0	54	48	20	48	30	1	1	Calibration_part1	es18_1	n/a
2	53.0	1.0	58	24	30	24	40	1	1	Calibration_part1	es18_1	n/a
3	53.0	1.0	73	0	30	0	40	1	1	Calibration_part1	es18_1	n/a
4	53.0	1.0	57	36	0	36	10	1	1	Calibration_part1	es18_1	n/a
5	53.0	1.0	62	36	40	36	50	1	1	Calibration_part1	es18_1	n/a
6	53.0	1.0	81	48	0	48	10	1	1	Calibration_part1	es18_1	n/a
1	40.0	1.0	22	36	20	36	30	1	1	Calibration_part1	es18	n/a
2	42.0	1.0	23	0	40	0	50	1	1	Calibration_part1	es18	n/a
3	44.0	1.0	30	48	20	48	30	1	1	Calibration_part1	es18	n/a
4	46.0	1.0	25	12	0	12	10	1	1	Calibration_part1	es18	n/a
5	48.0	1.0	33	0	0	0	10	1	1	Calibration_part1	es18	n/a
6	50.0	1.0	44	24	30	24	40	1	1	Calibration_part1	es18	n/a
7	51.0	1.0	50	24	0	24	10	1	1	Calibration_part1	es18	n/a
8	52.0	1.0	70	36	40	36	50	1	1	Calibration_part1	es18	n/a
9	53.0	1.0	66	36	0	36	10	1	1	Calibration_part1	es18	n/a
10	54.0	1.0	86	48	40	48	50	1	1	Calibration_part1	es18	n/a
11	55.0	1.0	75	0	20	0	30	1	1	Calibration_part1	es18	n/a
12	56.0	1.0	76	24	20	24	30	1	1	Calibration_part1	es18	n/a
1	56.7	1.0	67	12	20	12	30	1	1	Calibration_part2	es18	49.7
2	51.4	1.0	59	36	20	36	30	1	1	Calibration_part2	es18	49.7
3	49.2	1.0	74	0	40	0	50	1	1	Calibration_part2	es18	49.7
4	54.6	1.0	55	0	0	0	10	1	1	Calibration_part2	es18	49.7
5	52.4	1.0	49	24	20	24	30	1	1	Calibration_part2	es18	49.7
6	52.4	1.0	57	48	0	48	10	1	1	Calibration_part2	es18	49.7
7	58.9	1.0	84	36	40	36	50	1	1	Calibration_part2	es18	49.7
8	56.7	1.0	61	0	20	0	30	1	1	Calibration_part2	es18	49.7
9	55.7	1.0	94	48	40	48	50	1	1	Calibration_part2	es18	49.7
10	54.6	1.0	64	36	0	36	10	1	1	Calibration_part2	es18	49.7
11	57.8	1.0	70	12	0	12	10	1	1	Calibration_part2	es18	49.7
12	55.7	1.0	87	24	40	24	50	1	1	Calibration_part2	es18	49.7
13	50.3	1.0	65	48	20	48	30	1	1	Calibration_part2	es18	49.7
14	53.5	1.0	60	12	20	12	30	1	1	Calibration_part2	es18	49.7
15	53.5	1.0	72	36	20	36	30	1	1	Calibration_part2	es18	49.7
16	51.4	1.0	86	12	40	12	50	1	1	Calibration_part2	es18	49.7
17	58.9	1.0	64	48	0	48	10	1	-99	Calibration_part2	es18	49.7
18	49.2	1.0	81	24	0	24	10	1	1	Calibration_part2	es18	49.7
19	50.3	1.0	50	0	20	0	30	1	1	Calibration_part2	es18	49.7
20	57.8	1.0	82	24	20	24	30	1	1	Calibration_part2	es18	49.7
