Trial	Temperature	ISI	Rating	X1	Y1	X2	Y2	Lasershot1	Lasershot2	Experiment	Subject	Unnamed: 12	Unnamed: 13	temp_65
1	40.0	1.0	0	12	20	12	30	1	1	Calibration_part1	es23	n/a	n/a	n/a
2	42.0	1.0	26	36	20	36	30	1	1	Calibration_part1	es23	n/a	n/a	n/a
3	44.0	1.0	50	0	40	0	50	1	1	Calibration_part1	es23	n/a	n/a	n/a
4	46.0	1.0	63	0	0	0	10	1	1	Calibration_part1	es23	n/a	n/a	n/a
5	48.0	1.0	71	24	20	24	30	1	1	Calibration_part1	es23	n/a	n/a	n/a
6	50.0	1.0	78	48	0	48	10	1	1	Calibration_part1	es23	n/a	n/a	n/a
7	51.0	1.0	65	36	40	36	50	1	1	Calibration_part1	es23	n/a	n/a	n/a
8	52.0	1.0	72	0	20	0	30	1	1	Calibration_part1	es23	n/a	n/a	n/a
9	53.0	1.0	75	48	40	48	50	-99	0	Calibration_part1	es23	n/a	habe Wert von 0 auf 75 angepasst	n/a
10	54.0	1.0	60	36	0	36	10	1	1	Calibration_part1	es23	n/a	n/a	n/a
11	55.0	1.0	88	12	0	12	10	1	1	Calibration_part1	es23	n/a	n/a	n/a
1	40.0	1.0	0	12	20	12	30	1	1	Calibration_part1	es23	n/a	n/a	n/a
2	42.0	1.0	30	36	20	36	30	1	1	Calibration_part1	es23	n/a	n/a	n/a
3	44.0	1.0	39	0	40	0	50	1	1	Calibration_part1	es23	n/a	n/a	n/a
4	46.0	1.0	45	0	0	0	10	1	1	Calibration_part1	es23	n/a	n/a	n/a
5	48.0	1.0	51	24	20	24	30	1	1	Calibration_part1	es23	n/a	n/a	n/a
6	50.0	1.0	71	48	0	48	10	1	1	Calibration_part1	es23	n/a	n/a	n/a
7	51.0	1.0	93	36	40	36	50	1	1	Calibration_part1	es23	n/a	n/a	n/a
8	52.0	1.0	93	0	20	0	30	1	1	Calibration_part1	es23	n/a	n/a	n/a
9	53.0	1.0	98	48	40	48	50	1	1	Calibration_part1	es23	n/a	n/a	n/a
1	53.0	1.0	82	12	20	12	30	1	1	Calibration_part1	es23	n/a	n/a	n/a
2	53.0	1.0	78	36	20	36	30	1	1	Calibration_part1	es23	n/a	n/a	n/a
3	53.0	1.0	76	0	40	0	50	1	1	Calibration_part1	es23	n/a	n/a	n/a
4	53.0	1.0	73	0	0	0	10	1	1	Calibration_part1	es23	n/a	n/a	n/a
5	53.0	1.0	81	24	20	24	30	1	1	Calibration_part1	es23	n/a	n/a	n/a
6	53.0	1.0	81	48	0	48	10	1	1	Calibration_part1	es23	n/a	n/a	n/a
7	53.0	1.0	74	36	40	36	50	1	1	Calibration_part1	es23	n/a	n/a	n/a
8	53.0	1.0	66	0	20	0	30	1	1	Calibration_part1	es23	n/a	n/a	n/a
9	53.0	1.0	69	48	40	48	50	1	1	Calibration_part1	es23	n/a	n/a	n/a
10	53.0	1.0	74	36	0	36	10	1	1	Calibration_part1	es23	n/a	n/a	n/a
1	47.6	1.0	55	12	20	12	30	1	1	Calibration_part2	es23	n/a	n/a	50.7
2	46.6	1.0	53	36	20	36	30	1	1	Calibration_part2	es23	n/a	n/a	50.7
3	53.8	1.0	92	12	0	12	10	1	1	Calibration_part2	es23	n/a	n/a	50.7
4	48.7	1.0	64	36	0	36	10	1	1	Calibration_part2	es23	n/a	n/a	50.7
5	50.7	1.0	70	48	40	48	50	1	-99	Calibration_part2	es23	n/a	n/a	50.7
6	50.7	1.0	59	12	40	12	50	1	1	Calibration_part2	es23	n/a	n/a	50.7
7	55.9	1.0	75	12	0	12	10	1	1	Calibration_part2	es23	n/a	n/a	50.7
8	54.9	1.0	86	36	20	36	30	1	1	Calibration_part2	es23	n/a	n/a	50.7
9	51.8	1.0	72	12	20	12	30	1	1	Calibration_part2	es23	n/a	n/a	50.7
10	52.8	1.0	84	48	20	48	30	1	1	Calibration_part2	es23	n/a	n/a	50.7
11	52.8	1.0	86	0	40	0	50	1	1	Calibration_part2	es23	n/a	n/a	50.7
12	46.6	1.0	40	36	0	36	10	1	1	Calibration_part2	es23	n/a	n/a	50.7
13	48.7	1.0	58	0	0	0	10	1	1	Calibration_part2	es23	n/a	n/a	50.7
14	51.8	1.0	87	12	40	12	50	1	1	Calibration_part2	es23	n/a	n/a	50.7
