Trial	Temperature	ISI	Rating	X1	Y1	X2	Y2	Lasershot1	Lasershot2	Experiment	Subject	temp_65
1	40.0	1.0	0	48	20	48	30	1	1	Calibration_part1	sub-es15	n/a
2	42.0	1.0	2	24	30	24	40	1	1	Calibration_part1	sub-es15	n/a
3	44.0	1.0	11	0	30	0	40	1	1	Calibration_part1	sub-es15	n/a
4	46.0	1.0	31	36	0	36	10	1	1	Calibration_part1	sub-es15	n/a
5	48.0	1.0	42	36	40	36	50	1	1	Calibration_part1	sub-es15	n/a
6	50.0	1.0	50	48	0	48	10	1	1	Calibration_part1	sub-es15	n/a
7	51.0	1.0	51	12	0	12	10	1	1	Calibration_part1	sub-es15	n/a
8	52.0	1.0	56	12	30	12	40	1	1	Calibration_part1	sub-es15	n/a
9	53.0	1.0	62	36	20	36	30	1	1	Calibration_part1	sub-es15	n/a
10	54.0	1.0	70	0	0	0	10	1	1	Calibration_part1	sub-es15	n/a
11	55.0	1.0	82	0	20	0	30	1	1	Calibration_part1	sub-es15	n/a
12	56.0	1.0	100	48	40	48	50	1	1	Calibration_part1	sub-es15	n/a
1	55.3	1.0	44	36	0	36	10	1	1	Calibration_part2	sub-es15	58.1
2	49.9	1.0	36	12	10	12	20	1	1	Calibration_part2	sub-es15	58.1
3	56.8	1.0	75	48	40	48	50	1	1	Calibration_part2	sub-es15	58.1
4	50.7	1.0	50	24	40	24	50	1	1	Calibration_part2	sub-es15	58.1
5	54.5	1.0	67	48	10	48	20	1	1	Calibration_part2	sub-es15	58.1
6	50.7	1.0	38	24	20	24	30	1	1	Calibration_part2	sub-es15	58.1
7	49.9	1.0	23	48	30	48	40	1	1	Calibration_part2	sub-es15	58.1
8	56.0	1.0	50	12	0	12	10	1	1	Calibration_part2	sub-es15	58.1
9	52.2	1.0	20	12	30	12	40	1	1	Calibration_part2	sub-es15	58.1
10	55.3	1.0	21	0	0	0	10	1	1	Calibration_part2	sub-es15	58.1
11	53.7	1.0	78	0	40	0	50	1	1	Calibration_part2	sub-es15	58.1
12	53.7	1.0	64	36	10	36	20	1	1	Calibration_part2	sub-es15	58.1
13	52.2	1.0	21	0	20	0	30	1	1	Calibration_part2	sub-es15	58.1
14	53.0	1.0	20	24	0	24	10	1	1	Calibration_part2	sub-es15	58.1
15	56.8	1.0	64	36	30	36	40	1	1	Calibration_part2	sub-es15	58.1
16	51.4	1.0	41	48	0	48	10	1	1	Calibration_part2	sub-es15	58.1
17	53.0	1.0	50	24	40	24	50	1	1	Calibration_part2	sub-es15	58.1
18	51.4	1.0	13	12	0	12	10	1	1	Calibration_part2	sub-es15	58.1
19	56.0	1.0	50	12	40	12	50	1	1	Calibration_part2	sub-es15	58.1
20	54.5	1.0	44	36	0	36	10	1	1	Calibration_part2	sub-es15	58.1
