Trial	Temperature	ISI	Rating	X1	Y1	X2	Y2	Lasershot1	Lasershot2	Experiment	Subject	temp_65
1	40.0	1.0	4	36	20	36	30	1	1	Calibration_part1	es46	n/a
2	42.0	1.0	7	12	40	12	50	1	1	Calibration_part1	es46	n/a
3	44.0	1.0	24	12	0	12	10	1	1	Calibration_part1	es46	n/a
4	46.0	1.0	32	36	40	36	50	1	1	Calibration_part1	es46	n/a
5	48.0	1.0	44	36	0	36	10	1	1	Calibration_part1	es46	n/a
6	50.0	1.0	45	12	20	12	30	1	1	Calibration_part1	es46	n/a
7	51.0	1.0	54	48	20	48	30	1	1	Calibration_part1	es46	n/a
8	52.0	1.0	47	0	20	0	30	1	1	Calibration_part1	es46	n/a
9	53.0	1.0	43	48	0	48	10	1	1	Calibration_part1	es46	n/a
10	54.0	1.0	59	24	40	24	50	1	1	Calibration_part1	es46	n/a
11	55.0	1.0	62	12	0	12	10	1	1	Calibration_part1	es46	n/a
12	56.0	1.0	56	36	20	36	30	1	1	Calibration_part1	es46	n/a
13	57.0	1.0	65	12	40	12	50	1	1	Calibration_part1	es46	n/a
14	58.0	1.0	56	0	0	0	10	1	1	Calibration_part1	es46	n/a
15	59.0	1.0	71	36	40	36	50	1	1	Calibration_part1	es46	n/a
1	59.0	1.0	63	24	20	24	30	1	1	Calibration_part2	es46	129.8
2	53.4	1.0	73	0	40	0	50	1	1	Calibration_part2	es46	129.8
3	56.2	1.0	40	36	20	36	30	1	1	Calibration_part2	es46	129.8
4	59.0	1.0	43	0	20	0	30	1	1	Calibration_part2	es46	129.8
5	54.8	1.0	35	36	40	36	50	1	1	Calibration_part2	es46	129.8
6	55.5	1.0	50	24	0	24	10	1	1	Calibration_part2	es46	129.8
7	56.9	1.0	29	12	40	12	50	1	1	Calibration_part2	es46	129.8
8	52.7	1.0	31	48	0	48	10	1	1	Calibration_part2	es46	129.8
9	58.3	1.0	38	24	40	24	50	1	1	Calibration_part2	es46	129.8
10	54.1	1.0	37	48	20	48	30	1	1	Calibration_part2	es46	129.8
11	56.2	1.0	25	12	20	12	30	1	1	Calibration_part2	es46	129.8
12	56.9	1.0	56	48	40	48	50	1	1	Calibration_part2	es46	129.8
13	54.1	1.0	38	12	0	12	10	1	1	Calibration_part2	es46	129.8
14	55.5	1.0	54	0	40	0	50	1	1	Calibration_part2	es46	129.8
15	57.6	1.0	48	24	20	24	30	1	1	Calibration_part2	es46	129.8
16	52.7	1.0	19	0	0	0	10	1	1	Calibration_part2	es46	129.8
17	53.4	1.0	40	36	0	36	10	1	1	Calibration_part2	es46	129.8
18	58.3	1.0	14	0	20	0	30	1	1	Calibration_part2	es46	129.8
19	57.6	1.0	24	24	40	24	50	1	1	Calibration_part2	es46	129.8
20	54.8	1.0	31	24	0	24	10	1	1	Calibration_part2	es46	129.8
