Trial	Temperature	ISI	Rating	X1	Y1	X2	Y2	Lasershot1	Lasershot2	Experiment	Subject	temp_65
1	40.0	1.0	44	24	20	24	30	1	1	Calibration_part1	es19	n/a
2	42.0	1.0	0	48	30	48	40	1	1	Calibration_part1	es19	n/a
3	44.0	1.0	2	24	40	24	50	1	1	Calibration_part1	es19	n/a
4	46.0	1.0	8	24	0	24	10	1	1	Calibration_part1	es19	n/a
5	48.0	1.0	7	0	20	0	30	1	1	Calibration_part1	es19	n/a
6	50.0	1.0	12	48	20	48	30	1	1	Calibration_part1	es19	n/a
7	51.0	1.0	16	24	20	24	30	1	1	Calibration_part1	es19	n/a
8	52.0	1.0	14	0	40	0	50	1	1	Calibration_part1	es19	n/a
9	53.0	1.0	19	24	40	24	50	1	1	Calibration_part1	es19	n/a
10	54.0	1.0	20	12	0	12	10	1	1	Calibration_part1	es19	n/a
11	55.0	1.0	21	36	0	36	10	1	1	Calibration_part1	es19	n/a
12	56.0	1.0	34	0	30	0	40	1	1	Calibration_part1	es19	n/a
13	57.0	1.0	39	36	20	36	30	1	1	Calibration_part1	es19	n/a
14	58.0	1.0	45	12	0	12	10	1	1	Calibration_part1	es19	n/a
15	59.0	1.0	50	12	20	12	30	1	1	Calibration_part1	es19	n/a
1	55.4	1.0	42	36	20	36	30	1	1	Calibration_part2	es19	49.1
2	56.8	1.0	40	0	40	0	50	1	1	Calibration_part2	es19	49.1
3	55.0	1.0	56	48	20	48	30	1	1	Calibration_part2	es19	49.1
4	58.6	1.0	50	12	0	12	10	1	1	Calibration_part2	es19	49.1
5	55.9	1.0	48	0	0	0	10	1	1	Calibration_part2	es19	49.1
6	57.2	1.0	61	24	30	24	40	1	1	Calibration_part2	es19	49.1
7	59.0	1.0	59	24	0	24	10	1	1	Calibration_part2	es19	49.1
8	58.1	1.0	62	36	40	36	50	1	1	Calibration_part2	es19	49.1
9	57.7	1.0	62	36	0	36	10	1	1	Calibration_part2	es19	49.1
10	56.8	1.0	73	48	40	48	50	1	1	Calibration_part2	es19	49.1
11	58.1	1.0	74	0	20	0	30	1	1	Calibration_part2	es19	49.1
12	55.0	1.0	75	24	20	24	30	1	1	Calibration_part2	es19	49.1
13	56.3	1.0	77	48	0	48	10	1	1	Calibration_part2	es19	49.1
14	58.6	1.0	52	0	40	0	50	1	1	Calibration_part2	es19	49.1
15	55.4	1.0	62	48	40	48	50	1	1	Calibration_part2	es19	49.1
16	59.0	1.0	56	24	0	24	10	1	1	Calibration_part2	es19	49.1
17	55.9	1.0	69	12	40	12	50	1	1	Calibration_part2	es19	49.1
18	57.7	1.0	77	48	20	48	30	1	1	Calibration_part2	es19	49.1
19	56.3	1.0	67	12	20	12	30	1	1	Calibration_part2	es19	49.1
20	57.2	1.0	74	36	20	36	30	1	1	Calibration_part2	es19	49.1
