onset	duration	trial_type	value	sample	Baseline_temp	Cond_Block	ISI	ITI_pre	Mov_start	Pos_Block	RatingExp	RatingS1	RatingS2	Rep	Run	Stim_dur	Stim_temp	Subject	Task	Trial	X1	X2	Y1	Y2	aborted	decision	decisionRT	file	Lasershot	StimNr	invalid_trials	dropped	drop reason	drop_log_blocks12	drop_log_blocks14	drop_log_blocks16	drop_log_blocks18	drop_log_blocks34	drop_log_blocks36	drop_log_blocks38	drop_log_blocks56	drop_log_blocks58	drop_log_blocks78
24.749	0.125	1st/repetition/expected	121	49498	20.0	HIGH_B	1.0	9.1576	2.5703	J	81.0	69	77	1	1	0.125	55.0	es19	expsupp	1	12	12	0	10	0	n/a	n/a	sub-es19_00_0007.txt	1.0	1	0	0	n/a	('EQUALIZED_COUNT',)	('EQUALIZED_COUNT',)	('EQUALIZED_COUNT',)	('EQUALIZED_COUNT',)	('IGNORED',)	('IGNORED',)	('IGNORED',)	('IGNORED',)	('IGNORED',)	('IGNORED',)
34.87	0.125	1st/repetition/expected	121	69740	20.0	HIGH_B	1.0	9.1126	3.2276	J	81.0	69	77	1	1	0.125	55.0	es19	expsupp	2	36	36	20	30	0	n/a	n/a	sub-es19_00_0007.txt	1.0	1	0	0	n/a	('EQUALIZED_COUNT',)	('EQUALIZED_COUNT',)	('EQUALIZED_COUNT',)	('EQUALIZED_COUNT',)	('IGNORED',)	('IGNORED',)	('IGNORED',)	('IGNORED',)	('IGNORED',)	('IGNORED',)
44.2675	0.125	1st/repetition/expected	121	88535	20.0	HIGH_B	1.0	8.3824	2.8207	J	81.0	69	77	1	1	0.125	55.0	es19	expsupp	3	12	12	20	30	0	n/a	n/a	sub-es19_00_0007.txt	1.0	1	0	0	n/a	('EQUALIZED_COUNT',)	('EQUALIZED_COUNT',)	('EQUALIZED_COUNT',)	('EQUALIZED_COUNT',)	('IGNORED',)	('IGNORED',)	('IGNORED',)	('IGNORED',)	('IGNORED',)	('IGNORED',)
54.6875	0.125	1st/omission/unexpected	112	109375	20.0	HIGH_B	1.0	9.4052	3.9643	J	81.0	69	77	0	1	0.125	55.0	es19	expsupp	4	36	36	0	10	0	n/a	n/a	sub-es19_00_0007.txt	1.0	1	0	0	n/a	('EQUALIZED_COUNT',)	('EQUALIZED_COUNT',)	('EQUALIZED_COUNT',)	('EQUALIZED_COUNT',)	('IGNORED',)	('IGNORED',)	('IGNORED',)	('IGNORED',)	('IGNORED',)	('IGNORED',)
67.0355	0.125	1st/repetition/expected	121	134071	20.0	HIGH_B	1.0	11.1011	5.5971	J	81.0	69	77	1	1	0.125	55.0	es19	expsupp	5	36	36	40	50	0	n/a	n/a	sub-es19_00_0007.txt	1.0	1	0	0	n/a	('EQUALIZED_COUNT',)	('EQUALIZED_COUNT',)	('EQUALIZED_COUNT',)	('EQUALIZED_COUNT',)	('IGNORED',)	('IGNORED',)	('IGNORED',)	('IGNORED',)	('IGNORED',)	('IGNORED',)
78.4025	0.125	1st/repetition/expected	121	156805	20.0	HIGH_B	1.0	10.3523	4.2053	J	81.0	69	77	1	1	0.125	55.0	es19	expsupp	6	12	12	40	50	0	n/a	n/a	sub-es19_00_0007.txt	1.0	1	0	0	n/a	('EQUALIZED_COUNT',)	('EQUALIZED_COUNT',)	('EQUALIZED_COUNT',)	('EQUALIZED_COUNT',)	('IGNORED',)	('IGNORED',)	('IGNORED',)	('IGNORED',)	('IGNORED',)	('IGNORED',)
89.3	0.125	1st/repetition/expected	121	178600	20.0	HIGH_B	1.0	9.8821	4.471	J	81.0	69	77	1	1	0.125	55.0	es19	expsupp	7	48	48	40	50	2	n/a	n/a	sub-es19_00_0007.txt	1.0	1	0	1	LASER ABORT	('LASER ABORT',)	('LASER ABORT',)	('LASER ABORT',)	('LASER ABORT',)	('LASER ABORT',)	('LASER ABORT',)	('LASER ABORT',)	('LASER ABORT',)	('LASER ABORT',)	('LASER ABORT',)
101.135	0.125	Abort	99	202270	20.0	HIGH_B	1.0	8.7675	3.8219	J	81.0	69	77	0	1	0.125	55.0	es19	expsupp	8	0	0	0	10	-99	n/a	n/a	n/a	-99.0	1	0	1	LASER ABORT	('LASER ABORT',)	('LASER ABORT',)	('LASER ABORT',)	('LASER ABORT',)	('LASER ABORT',)	('LASER ABORT',)	('LASER ABORT',)	('LASER ABORT',)	('LASER ABORT',)	('LASER ABORT',)
115.2845	0.125	1st/repetition/expected	121	230569	20.0	HIGH_B	1.0	10.8292	3.4406	J	81.0	69	77	1	1	0.125	55.0	es19	expsupp	9	24	24	0	10	0	n/a	n/a	sub-es19_00_0008.txt	1.0	1	0	0	n/a	('EQUALIZED_COUNT',)	('EQUALIZED_COUNT',)	('EQUALIZED_COUNT',)	('EQUALIZED_COUNT',)	('IGNORED',)	('IGNORED',)	('IGNORED',)	('IGNORED',)	('IGNORED',)	('IGNORED',)
124.849	0.125	1st/omission/unexpected	112	249698	20.0	HIGH_B	1.0	8.5499	3.5319	J	81.0	69	77	0	1	0.125	55.0	es19	expsupp	10	24	24	40	50	0	n/a	n/a	sub-es19_00_0008.txt	1.0	1	0	0	n/a	()	()	()	()	('IGNORED',)	('IGNORED',)	('IGNORED',)	('IGNORED',)	('IGNORED',)	('IGNORED',)
