Trial	Temperature	ISI	Rating	X1	Y1	X2	Y2	Lasershot1	Lasershot2	Experiment	Subject	temp_65
1	40.0	1.0	11	12	20	12	30	1	0	Calibration_part1	es03	n/a
1	40.0	1.0	14	12	20	12	30	1	1	Calibration_part1	es03	n/a
2	42.0	1.0	0	36	20	36	30	1	1	Calibration_part1	es03	n/a
3	44.0	1.0	17	12	0	12	10	1	1	Calibration_part1	es03	n/a
4	46.0	1.0	21	36	0	36	10	1	1	Calibration_part1	es03	n/a
5	48.0	1.0	31	48	40	48	50	1	1	Calibration_part1	es03	n/a
6	50.0	1.0	50	12	40	12	50	1	1	Calibration_part1	es03	n/a
7	51.0	1.0	50	12	0	12	10	1	1	Calibration_part1	es03	n/a
8	52.0	1.0	56	36	20	36	30	1	1	Calibration_part1	es03	n/a
9	53.0	1.0	50	12	20	12	30	1	1	Calibration_part1	es03	n/a
10	54.0	1.0	61	48	20	48	30	1	1	Calibration_part1	es03	n/a
11	55.0	1.0	65	0	40	0	50	1	1	Calibration_part1	es03	n/a
12	56.0	1.0	50	36	0	36	10	1	1	Calibration_part1	es03	n/a
13	57.0	1.0	50	0	0	0	10	1	1	Calibration_part1	es03	n/a
14	58.0	1.0	53	12	40	12	50	1	1	Calibration_part1	es03	n/a
15	59.0	1.0	57	36	40	36	50	1	1	Calibration_part1	es03	n/a
1	55.5	1.0	40	36	0	36	10	1	1	Calibration_part2	es03	62.7
2	53.8	1.0	47	12	10	12	20	1	1	Calibration_part2	es03	62.7
3	56.7	1.0	59	48	40	48	50	1	1	Calibration_part2	es03	62.7
4	59.0	1.0	69	24	40	24	50	1	1	Calibration_part2	es03	62.7
5	53.8	1.0	50	48	10	48	20	1	1	Calibration_part2	es03	62.7
6	55.0	1.0	54	24	20	24	30	1	1	Calibration_part2	es03	62.7
7	54.4	1.0	55	48	30	48	40	1	1	Calibration_part2	es03	62.7
8	58.4	1.0	50	12	0	12	10	1	1	Calibration_part2	es03	62.7
9	59.0	1.0	66	12	30	12	40	1	1	Calibration_part2	es03	62.7
10	57.8	1.0	42	0	0	0	10	1	1	Calibration_part2	es03	62.7
11	57.3	1.0	54	0	40	0	50	1	1	Calibration_part2	es03	62.7
12	54.4	1.0	40	36	10	36	20	1	1	Calibration_part2	es03	62.7
13	55.5	1.0	29	0	20	0	30	1	1	Calibration_part2	es03	62.7
14	55.0	1.0	50	24	0	24	10	1	1	Calibration_part2	es03	62.7
15	56.1	1.0	55	36	30	36	40	1	1	Calibration_part2	es03	62.7
16	57.3	1.0	46	48	0	48	10	1	1	Calibration_part2	es03	62.7
17	58.4	1.0	57	24	40	24	50	1	1	Calibration_part2	es03	62.7
18	57.8	1.0	42	12	0	12	10	1	1	Calibration_part2	es03	62.7
19	56.1	1.0	47	12	40	12	50	1	1	Calibration_part2	es03	62.7
20	56.7	1.0	55	36	0	36	10	1	1	Calibration_part2	es03	62.7
