Trial	Temperature	ISI	Rating	X1	Y1	X2	Y2	Experiment	Subject	temp_65
1	40.0	1.0	0.0	36	0	36	10	Calibration_part1	es01	n/a
2	42.0	1.0	7.0	12	20	12	30	Calibration_part1	es01	n/a
3	44.0	1.0	5.0	36	20	36	30	Calibration_part1	es01	n/a
4	46.0	1.0	25.0	0	20	0	30	Calibration_part1	es01	n/a
5	48.0	1.0	23.0	36	40	36	50	Calibration_part1	es01	n/a
6	50.0	1.0	28.0	12	40	12	50	Calibration_part1	es01	n/a
7	51.0	1.0	29.0	36	0	36	10	Calibration_part1	es01	n/a
8	52.0	1.0	50.0	0	40	0	50	Calibration_part1	es01	n/a
9	53.0	1.0	64.0	12	0	12	10	Calibration_part1	es01	n/a
10	54.0	1.0	77.0	24	40	24	50	Calibration_part1	es01	n/a
11	55.0	1.0	86.0	48	20	48	30	Calibration_part1	es01	n/a
12	56.0	1.0	94.0	24	20	24	30	Calibration_part1	es01	n/a
1	50.9	1.0	21.0	24	20	24	30	Calibration_part2	es01	49.5
2	57.8	1.0	55.0	0	40	0	50	Calibration_part2	es01	49.5
3	54.0	1.0	73.0	36	20	36	30	Calibration_part2	es01	49.5
4	54.0	1.0	75.0	0	20	0	30	Calibration_part2	es01	49.5
5	55.5	1.0	98.0	36	40	36	50	Calibration_part2	es01	49.5
6	57.0	1.0	98.0	24	0	24	10	Calibration_part2	es01	49.5
7	55.5	1.0	100.0	12	40	12	50	Calibration_part2	es01	49.5
8	52.4	1.0	76.0	48	0	48	10	Calibration_part2	es01	49.5
9	53.2	1.0	95.0	24	40	24	50	Calibration_part2	es01	49.5
10	57.0	1.0	98.0	48	20	48	30	Calibration_part2	es01	49.5
11	54.7	1.0	99.0	12	20	12	30	Calibration_part2	es01	49.5
12	54.7	1.0	100.0	48	40	48	50	Calibration_part2	es01	49.5
13	51.7	1.0	97.0	12	0	12	10	Calibration_part2	es01	49.5
14	53.2	1.0	65.0	0	40	0	50	Calibration_part2	es01	49.5
15	56.3	1.0	98.0	24	20	24	30	Calibration_part2	es01	49.5
16	57.8	1.0	100.0	0	0	0	10	Calibration_part2	es01	49.5
17	51.7	1.0	74.0	36	0	36	10	Calibration_part2	es01	49.5
18	52.4	1.0	64.0	0	20	0	30	Calibration_part2	es01	49.5
19	56.3	1.0	99.0	24	40	24	50	Calibration_part2	es01	49.5
20	50.9	1.0	94.0	24	0	24	10	Calibration_part2	es01	49.5
