onset	duration	trial_type	value	sample	Baseline_temp	Cond_Block	ISI	ITI_pre	Mov_start	Pos_Block	RatingExp	RatingS1	RatingS2	Rep	Run	Stim_dur	Stim_temp	Subject	Task	Trial	X1	X2	Y1	Y2	aborted	decision	decisionRT	file	Lasershot	StimNr	invalid_trials	dropped	drop reason	drop_log_blocks12	drop_log_blocks14	drop_log_blocks16	drop_log_blocks18	drop_log_blocks34	drop_log_blocks36	drop_log_blocks38	drop_log_blocks56	drop_log_blocks58	drop_log_blocks78
26.5115	0.125	1st/repetition/unexpected	122	53023	20.0	LOW_B	1.0	9.9585	5.2333	I	15.0	38	56	1	1	0.125	59.0	es13	expsupp	1	12	12	20	30	0	n/a	n/a	sub-es13_00_0006.txt	1.0	1	0	0	n/a	()	()	('EQUALIZED_COUNT',)	()	('IGNORED',)	('IGNORED',)	('IGNORED',)	('IGNORED',)	('IGNORED',)	('IGNORED',)
38.835	0.125	1st/omission/expected	111	77670	20.0	LOW_B	1.0	11.3148	3.3384	I	15.0	38	56	0	1	0.125	59.0	es13	expsupp	2	36	36	20	30	0	n/a	n/a	sub-es13_00_0006.txt	1.0	1	0	0	n/a	('EQUALIZED_COUNT',)	('EQUALIZED_COUNT',)	('EQUALIZED_COUNT',)	('EQUALIZED_COUNT',)	('IGNORED',)	('IGNORED',)	('IGNORED',)	('IGNORED',)	('IGNORED',)	('IGNORED',)
49.6185	0.125	1st/omission/expected	111	99237	20.0	LOW_B	1.0	9.5356	2.8622	I	15.0	38	56	0	1	0.125	59.0	es13	expsupp	3	0	0	40	50	0	n/a	n/a	sub-es13_00_0006.txt	1.0	1	0	0	n/a	('EQUALIZED_COUNT',)	('EQUALIZED_COUNT',)	('EQUALIZED_COUNT',)	('EQUALIZED_COUNT',)	('IGNORED',)	('IGNORED',)	('IGNORED',)	('IGNORED',)	('IGNORED',)	('IGNORED',)
59.0775	0.125	1st/omission/expected	111	118155	20.0	LOW_B	1.0	8.2125	2.0955	I	15.0	38	56	0	1	0.125	59.0	es13	expsupp	4	0	0	0	10	0	n/a	n/a	sub-es13_00_0006.txt	1.0	1	0	0	n/a	('EQUALIZED_COUNT',)	('EQUALIZED_COUNT',)	('EQUALIZED_COUNT',)	('EQUALIZED_COUNT',)	('IGNORED',)	('IGNORED',)	('IGNORED',)	('IGNORED',)	('IGNORED',)	('IGNORED',)
69.4885	0.125	1st/repetition/unexpected	122	138977	20.0	LOW_B	1.0	9.1647	2.5348	I	15.0	38	56	1	1	0.125	59.0	es13	expsupp	5	24	24	20	30	0	n/a	n/a	sub-es13_00_0006.txt	1.0	1	0	0	n/a	()	()	()	()	('IGNORED',)	('IGNORED',)	('IGNORED',)	('IGNORED',)	('IGNORED',)	('IGNORED',)
82.271	0.125	1st/omission/expected	111	164542	20.0	LOW_B	1.0	11.7671	6.2917	I	15.0	38	56	0	1	0.125	59.0	es13	expsupp	6	48	48	0	10	1	n/a	n/a	sub-es13_00_0006.txt	1.0	1	0	1	LASER ABORT	('LASER ABORT',)	('LASER ABORT',)	('LASER ABORT',)	('LASER ABORT',)	('LASER ABORT',)	('LASER ABORT',)	('LASER ABORT',)	('LASER ABORT',)	('LASER ABORT',)	('LASER ABORT',)
91.574	0.125	1st/omission/expected	111	183148	20.0	LOW_B	1.0	8.0555	2.6117	I	15.0	38	56	0	1	0.125	59.0	es13	expsupp	7	36	36	40	50	0	n/a	n/a	sub-es13_00_0007.txt	1.0	1	0	0	n/a	('EQUALIZED_COUNT',)	('EQUALIZED_COUNT',)	('EQUALIZED_COUNT',)	('EQUALIZED_COUNT',)	('IGNORED',)	('IGNORED',)	('IGNORED',)	('IGNORED',)	('IGNORED',)	('IGNORED',)
103.499	0.125	1st/omission/expected	111	206998	20.0	LOW_B	1.0	10.6783	5.509	I	15.0	38	56	0	1	0.125	59.0	es13	expsupp	8	0	0	20	30	0	n/a	n/a	sub-es13_00_0007.txt	1.0	1	0	1	MAN REJECT POST ICA	('MAN REJECT POST ICA',)	('MAN REJECT POST ICA',)	('MAN REJECT POST ICA',)	('MAN REJECT POST ICA',)	('MAN REJECT POST ICA',)	('MAN REJECT POST ICA',)	('MAN REJECT POST ICA',)	('MAN REJECT POST ICA',)	('MAN REJECT POST ICA',)	('MAN REJECT POST ICA',)
116.6535	0.125	1st/repetition/unexpected	122	233307	20.0	LOW_B	1.0	11.9068	2.1972	I	15.0	38	56	1	1	0.125	59.0	es13	expsupp	9	48	48	40	50	0	n/a	n/a	sub-es13_00_0007.txt	1.0	1	0	0	n/a	()	()	()	()	('IGNORED',)	('IGNORED',)	('IGNORED',)	('IGNORED',)	('IGNORED',)	('IGNORED',)
127.2335	0.125	1st/omission/expected	111	254467	20.0	LOW_B	1.0	9.5623	3.9925	I	15.0	38	56	0	1	0.125	59.0	es13	expsupp	10	36	36	0	10	0	n/a	n/a	sub-es13_00_0007.txt	1.0	1	0	1	MAN REJECT POST ICA	('MAN REJECT POST ICA',)	('MAN REJECT POST ICA',)	('MAN REJECT POST ICA',)	('MAN REJECT POST ICA',)	('MAN REJECT POST ICA',)	('MAN REJECT POST ICA',)	('MAN REJECT POST ICA',)	('MAN REJECT POST ICA',)	('MAN REJECT POST ICA',)	('MAN REJECT POST ICA',)
137.737	0.125	1st/omission/expected	111	275474	20.0	LOW_B	1.0	9.2561	4.3906	I	15.0	38	56	0	1	0.125	59.0	es13	expsupp	11	12	12	0	10	0	n/a	n/a	sub-es13_00_0007.txt	1.0	1	0	0	n/a	('EQUALIZED_COUNT',)	('EQUALIZED_COUNT',)	('EQUALIZED_COUNT',)	('EQUALIZED_COUNT',)	('IGNORED',)	('IGNORED',)	('IGNORED',)	('IGNORED',)	('IGNORED',)	('IGNORED',)
147.9745	0.125	1st/omission/expected	111	295949	20.0	LOW_B	1.0	8.9898	4.0464	I	15.0	38	56	0	1	0.125	59.0	es13	expsupp	12	24	24	40	50	0	n/a	n/a	sub-es13_00_0007.txt	1.0	1	0	0	n/a	('EQUALIZED_COUNT',)	('EQUALIZED_COUNT',)	('EQUALIZED_COUNT',)	('EQUALIZED_COUNT',)	('IGNORED',)	('IGNORED',)	('IGNORED',)	('IGNORED',)	('IGNORED',)	('IGNORED',)
158.7995	0.125	1st/repetition/unexpected	122	317599	20.0	LOW_B	1.0	9.5785	4.828	I	15.0	38	56	1	1	0.125	59.0	es13	expsupp	13	48	48	20	30	0	n/a	n/a	sub-es13_00_0007.txt	1.0	1	0	0	n/a	()	()	()	()	('IGNORED',)	('IGNORED',)	('IGNORED',)	('IGNORED',)	('IGNORED',)	('IGNORED',)
168.4395	0.125	1st/omission/expected	111	336879	20.0	LOW_B	1.0	8.6254	2.4168	I	15.0	38	56	0	1	0.125	59.0	es13	expsupp	14	12	12	20	30	0	n/a	n/a	sub-es13_00_0007.txt	1.0	1	0	1	MAN REJECT POST ICA	('MAN REJECT POST ICA',)	('MAN REJECT POST ICA',)	('MAN REJECT POST ICA',)	('MAN REJECT POST ICA',)	('MAN REJECT POST ICA',)	('MAN REJECT POST ICA',)	('MAN REJECT POST ICA',)	('MAN REJECT POST ICA',)	('MAN REJECT POST ICA',)	('MAN REJECT POST ICA',)
178.969	0.125	1st/omission/expected	111	357938	20.0	LOW_B	1.0	9.2821	3.0621	I	15.0	38	56	0	1	0.125	59.0	es13	expsupp	15	36	36	20	30	0	n/a	n/a	sub-es13_00_0007.txt	1.0	1	0	0	n/a	('EQUALIZED_COUNT',)	('EQUALIZED_COUNT',)	('EQUALIZED_COUNT',)	('EQUALIZED_COUNT',)	('IGNORED',)	('IGNORED',)	('IGNORED',)	('IGNORED',)	('IGNORED',)	('IGNORED',)
190.241	0.125	1st/omission/expected	111	380482	20.0	LOW_B	1.0	10.0272	5.3673	I	15.0	38	56	0	1	0.125	59.0	es13	expsupp	16	12	12	40	50	0	n/a	n/a	sub-es13_00_0007.txt	1.0	1	0	0	n/a	()	('EQUALIZED_COUNT',)	('EQUALIZED_COUNT',)	('EQUALIZED_COUNT',)	('IGNORED',)	('IGNORED',)	('IGNORED',)	('IGNORED',)	('IGNORED',)	('IGNORED',)
201.387	0.125	1st/repetition/unexpected	122	402774	20.0	LOW_B	1.0	9.8991	3.1752	I	15.0	38	56	1	1	0.125	59.0	es13	expsupp	17	48	48	0	10	1	n/a	n/a	sub-es13_00_0007.txt	1.0	1	0	1	LASER ABORT	('LASER ABORT',)	('LASER ABORT',)	('LASER ABORT',)	('LASER ABORT',)	('LASER ABORT',)	('LASER ABORT',)	('LASER ABORT',)	('LASER ABORT',)	('LASER ABORT',)	('LASER ABORT',)
215.2195	0.125	1st/omission/expected	111	430439	20.0	LOW_B	1.0	10.4079	3.9307	I	15.0	38	56	0	1	0.125	59.0	es13	expsupp	18	24	24	0	10	0	n/a	n/a	sub-es13_00_0008.txt	1.0	1	0	0	n/a	()	('EQUALIZED_COUNT',)	('EQUALIZED_COUNT',)	('EQUALIZED_COUNT',)	('IGNORED',)	('IGNORED',)	('IGNORED',)	('IGNORED',)	('IGNORED',)	('IGNORED',)
227.7485	0.125	1st/omission/expected	111	455497	20.0	LOW_B	1.0	11.2824	3.545	I	15.0	38	56	0	1	0.125	59.0	es13	expsupp	19	0	0	20	30	0	n/a	n/a	sub-es13_00_0008.txt	1.0	1	0	0	n/a	()	()	()	()	('IGNORED',)	('IGNORED',)	('IGNORED',)	('IGNORED',)	('IGNORED',)	('IGNORED',)
238.2285	0.125	1st/omission/expected	111	476457	20.0	LOW_B	1.0	9.2347	3.4039	I	15.0	38	56	0	1	0.125	59.0	es13	expsupp	20	24	24	20	30	0	n/a	n/a	sub-es13_00_0008.txt	1.0	1	0	1	MAN REJECT POST ICA	('MAN REJECT POST ICA',)	('MAN REJECT POST ICA',)	('MAN REJECT POST ICA',)	('MAN REJECT POST ICA',)	('MAN REJECT POST ICA',)	('MAN REJECT POST ICA',)	('MAN REJECT POST ICA',)	('MAN REJECT POST ICA',)	('MAN REJECT POST ICA',)	('MAN REJECT POST ICA',)
251.318	0.125	1st/repetition/unexpected	122	502636	20.0	LOW_B	1.0	11.8427	5.2437	I	15.0	38	56	1	1	0.125	59.0	es13	expsupp	21	48	48	40	50	0	n/a	n/a	sub-es13_00_0008.txt	1.0	1	0	1	MAN REJECT POST ICA	('MAN REJECT POST ICA',)	('MAN REJECT POST ICA',)	('MAN REJECT POST ICA',)	('MAN REJECT POST ICA',)	('MAN REJECT POST ICA',)	('MAN REJECT POST ICA',)	('MAN REJECT POST ICA',)	('MAN REJECT POST ICA',)	('MAN REJECT POST ICA',)	('MAN REJECT POST ICA',)
260.999	0.125	1st/omission/expected	111	521998	20.0	LOW_B	1.0	8.6663	2.122	I	15.0	38	56	0	1	0.125	59.0	es13	expsupp	22	0	0	40	50	0	n/a	n/a	sub-es13_00_0008.txt	1.0	1	0	0	n/a	()	()	()	()	('IGNORED',)	('IGNORED',)	('IGNORED',)	('IGNORED',)	('IGNORED',)	('IGNORED',)
273.9015	0.125	1st/omission/expected	111	547803	20.0	LOW_B	1.0	11.6561	2.5081	I	15.0	38	56	0	1	0.125	59.0	es13	expsupp	23	0	0	0	10	0	n/a	n/a	sub-es13_00_0008.txt	1.0	1	0	1	MAN REJECT POST ICA	('MAN REJECT POST ICA',)	('MAN REJECT POST ICA',)	('MAN REJECT POST ICA',)	('MAN REJECT POST ICA',)	('MAN REJECT POST ICA',)	('MAN REJECT POST ICA',)	('MAN REJECT POST ICA',)	('MAN REJECT POST ICA',)	('MAN REJECT POST ICA',)	('MAN REJECT POST ICA',)
285.134	0.125	1st/omission/expected	111	570268	20.0	LOW_B	1.0	9.9853	5.0295	I	15.0	38	56	0	1	0.125	59.0	es13	expsupp	24	48	48	20	30	0	n/a	n/a	sub-es13_00_0008.txt	1.0	1	0	1	MAN REJECT POST ICA	('MAN REJECT POST ICA',)	('MAN REJECT POST ICA',)	('MAN REJECT POST ICA',)	('MAN REJECT POST ICA',)	('MAN REJECT POST ICA',)	('MAN REJECT POST ICA',)	('MAN REJECT POST ICA',)	('MAN REJECT POST ICA',)	('MAN REJECT POST ICA',)	('MAN REJECT POST ICA',)
25.488	0.125	1st/repetition/expected	121	50976	20.0	HIGH_A	1.0	10.467	4.9747	J	74.0	50	63	1	2	0.125	59.0	es13	expsupp	1	12	12	0	10	0	n/a	n/a	sub-es13_00_0009.txt	1.0	1	0	0	n/a	('EQUALIZED_COUNT',)	('EQUALIZED_COUNT',)	('EQUALIZED_COUNT',)	('EQUALIZED_COUNT',)	('IGNORED',)	('IGNORED',)	('IGNORED',)	('IGNORED',)	('IGNORED',)	('IGNORED',)
37.5725	0.125	1st/repetition/expected	121	75145	20.0	HIGH_A	1.0	11.0758	5.9421	J	74.0	50	63	1	2	0.125	59.0	es13	expsupp	2	36	36	20	30	0	n/a	n/a	sub-es13_00_0009.txt	1.0	1	0	0	n/a	('EQUALIZED_COUNT',)	('EQUALIZED_COUNT',)	('EQUALIZED_COUNT',)	('EQUALIZED_COUNT',)	('IGNORED',)	('IGNORED',)	('IGNORED',)	('IGNORED',)	('IGNORED',)	('IGNORED',)
48.7375	0.125	1st/repetition/expected	121	97475	20.0	HIGH_A	1.0	10.1496	2.001	J	74.0	50	63	1	2	0.125	59.0	es13	expsupp	3	12	12	20	30	0	n/a	n/a	sub-es13_00_0009.txt	1.0	1	0	0	n/a	()	()	()	()	('IGNORED',)	('IGNORED',)	('IGNORED',)	('IGNORED',)	('IGNORED',)	('IGNORED',)
59.227	0.125	1st/omission/unexpected	112	118454	20.0	HIGH_A	1.0	9.4709	3.5179	J	74.0	50	63	0	2	0.125	59.0	es13	expsupp	4	36	36	0	10	0	n/a	n/a	sub-es13_00_0009.txt	1.0	1	0	0	n/a	()	()	()	()	('IGNORED',)	('IGNORED',)	('IGNORED',)	('IGNORED',)	('IGNORED',)	('IGNORED',)
71.1515	0.125	1st/repetition/expected	121	142303	20.0	HIGH_A	1.0	10.6787	5.2313	J	74.0	50	63	1	2	0.125	59.0	es13	expsupp	5	36	36	40	50	0	n/a	n/a	sub-es13_00_0009.txt	1.0	1	0	0	n/a	('EQUALIZED_COUNT',)	('EQUALIZED_COUNT',)	('EQUALIZED_COUNT',)	('EQUALIZED_COUNT',)	('IGNORED',)	('IGNORED',)	('IGNORED',)	('IGNORED',)	('IGNORED',)	('IGNORED',)
81.7935	0.125	1st/repetition/expected	121	163587	20.0	HIGH_A	1.0	9.627	2.1432	J	74.0	50	63	1	2	0.125	59.0	es13	expsupp	6	12	12	40	50	0	n/a	n/a	sub-es13_00_0009.txt	1.0	1	0	0	n/a	('EQUALIZED_COUNT',)	('EQUALIZED_COUNT',)	('EQUALIZED_COUNT',)	('EQUALIZED_COUNT',)	('IGNORED',)	('IGNORED',)	('IGNORED',)	('IGNORED',)	('IGNORED',)	('IGNORED',)
92.2375	0.125	1st/omission/unexpected	112	184475	20.0	HIGH_A	1.0	9.4278	4.9077	J	74.0	50	63	0	2	0.125	59.0	es13	expsupp	7	48	48	40	50	0	n/a	n/a	sub-es13_00_0009.txt	1.0	1	0	1	MAN REJECT POST ICA	('MAN REJECT POST ICA',)	('MAN REJECT POST ICA',)	('MAN REJECT POST ICA',)	('MAN REJECT POST ICA',)	('MAN REJECT POST ICA',)	('MAN REJECT POST ICA',)	('MAN REJECT POST ICA',)	('MAN REJECT POST ICA',)	('MAN REJECT POST ICA',)	('MAN REJECT POST ICA',)
