Trial	Temperature	ISI	Rating	X1	Y1	X2	Y2	Lasershot1	Lasershot2	Experiment	Subject	temp_65
1	40.0	1.0	0.0	24	0	24	10	1	1	Calibration_part1	es11	n/a
2	42.0	1.0	44.0	48	0	48	10	1	1	Calibration_part1	es11	n/a
3	44.0	1.0	45.0	24	20	24	30	1	1	Calibration_part1	es11	n/a
4	46.0	1.0	50.0	48	40	48	50	1	1	Calibration_part1	es11	n/a
5	48.0	1.0	39.0	12	40	12	50	1	1	Calibration_part1	es11	n/a
6	50.0	1.0	55.0	12	0	12	10	1	1	Calibration_part1	es11	n/a
7	51.0	1.0	56.0	36	20	36	30	1	1	Calibration_part1	es11	n/a
8	52.0	1.0	61.0	0	0	0	10	1	1	Calibration_part1	es11	n/a
9	53.0	1.0	54.0	48	20	48	30	1	1	Calibration_part1	es11	n/a
10	54.0	1.0	68.0	24	40	24	50	1	1	Calibration_part1	es11	n/a
11	55.0	1.0	72.0	24	0	24	10	1	1	Calibration_part1	es11	n/a
12	56.0	1.0	60.0	0	20	0	30	1	1	Calibration_part1	es11	n/a
13	57.0	1.0	65.0	36	40	36	50	1	1	Calibration_part1	es11	n/a
14	58.0	1.0	66.0	36	0	36	10	1	1	Calibration_part1	es11	n/a
15	59.0	1.0	74.0	12	20	12	30	1	1	Calibration_part1	es11	n/a
1	50.6	1.0	57.0	24	20	24	30	1	1	Calibration_part2	es11	62.2
2	49.5	1.0	50.0	48	30	48	40	1	1	Calibration_part2	es11	62.2
3	55.8	1.0	57.0	24	40	24	50	1	1	Calibration_part2	es11	62.2
4	56.9	1.0	59.0	24	0	24	10	1	1	Calibration_part2	es11	62.2
5	52.7	1.0	35.0	0	20	0	30	1	1	Calibration_part2	es11	62.2
6	54.8	1.0	55.0	48	20	48	30	1	1	Calibration_part2	es11	62.2
7	57.9	1.0	59.0	24	20	24	30	1	1	Calibration_part2	es11	62.2
8	52.7	1.0	55.0	0	40	0	50	1	1	Calibration_part2	es11	62.2
9	59.0	1.0	61.0	24	40	24	50	1	1	Calibration_part2	es11	62.2
10	51.6	1.0	50.0	12	0	12	10	1	1	Calibration_part2	es11	62.2
11	53.7	1.0	46.0	36	0	36	10	1	1	Calibration_part2	es11	62.2
12	59.0	1.0	55.0	0	30	0	40	1	1	Calibration_part2	es11	62.2
13	49.5	1.0	n/a	36	20	36	30	-99	0	Calibration_part2	es11	62.2
14	57.9	1.0	62.0	12	0	12	10	1	1	Calibration_part2	es11	62.2
15	54.8	1.0	n/a	12	20	12	30	-99	0	Calibration_part2	es11	62.2
16	50.6	1.0	36.0	48	20	48	30	1	1	Calibration_part2	es11	62.2
17	51.6	1.0	41.0	0	0	0	10	1	1	Calibration_part2	es11	62.2
18	55.8	1.0	n/a	36	40	36	50	-99	0	Calibration_part2	es11	62.2
19	56.9	1.0	55.0	36	0	36	10	1	1	Calibration_part2	es11	62.2
20	53.7	1.0	45.0	0	20	0	30	1	1	Calibration_part2	es11	62.2
