Trial	Temperature	ISI	Rating	X1	Y1	X2	Y2	Lasershot1	Lasershot2	Experiment	Subject	temp_65
1	40.0	1.0	42	48	20	48	30	1	1	Calibration_part1	es27	n/a
2	42.0	1.0	52	24	30	24	40	1	1	Calibration_part1	es27	n/a
3	44.0	1.0	46	0	30	0	40	1	1	Calibration_part1	es27	n/a
4	46.0	1.0	55	36	0	36	10	1	1	Calibration_part1	es27	n/a
5	48.0	1.0	63	36	40	36	50	1	1	Calibration_part1	es27	n/a
6	50.0	1.0	75	48	0	48	10	1	1	Calibration_part1	es27	n/a
7	51.0	1.0	88	12	0	12	10	1	1	Calibration_part1	es27	n/a
8	52.0	1.0	90	12	30	12	40	1	1	Calibration_part1	es27	n/a
9	53.0	1.0	81	36	20	36	30	1	1	Calibration_part1	es27	n/a
10	54.0	1.0	99	0	0	0	10	1	1	Calibration_part1	es27	n/a
1	53.0	1.0	67	48	20	48	30	1	1	Calibration_part1	es27	n/a
2	53.0	1.0	79	24	30	24	40	1	1	Calibration_part1	es27	n/a
3	53.0	1.0	93	0	30	0	40	1	1	Calibration_part1	es27	n/a
4	53.0	1.0	68	36	0	36	10	1	1	Calibration_part1	es27	n/a
5	53.0	1.0	60	36	40	36	50	1	1	Calibration_part1	es27	n/a
6	53.0	1.0	83	48	0	48	10	1	1	Calibration_part1	es27	n/a
7	53.0	1.0	87	12	0	12	10	1	1	Calibration_part1	es27	n/a
8	53.0	1.0	84	12	30	12	40	1	1	Calibration_part1	es27	n/a
9	53.0	1.0	59	36	20	36	30	1	1	Calibration_part1	es27	n/a
10	53.0	1.0	56	0	0	0	10	1	1	Calibration_part1	es27	n/a
1	48.8	1.0	18	36	20	36	30	1	1	Calibration_part2	es27	50.4
2	52.2	1.0	76	12	40	12	50	1	1	Calibration_part2	es27	50.4
3	45.4	1.0	55	12	0	12	10	1	1	Calibration_part2	es27	50.4
4	49.9	1.0	64	36	40	36	50	1	1	Calibration_part2	es27	50.4
5	48.8	1.0	59	36	0	36	10	1	1	Calibration_part2	es27	50.4
6	43.2	1.0	27	12	20	12	30	1	1	Calibration_part2	es27	50.4
7	51.1	1.0	73	48	20	48	30	1	1	Calibration_part2	es27	50.4
8	53.3	1.0	94	0	20	0	30	1	1	Calibration_part2	es27	50.4
9	46.6	1.0	50	48	0	48	10	1	1	Calibration_part2	es27	50.4
10	51.1	1.0	71	24	40	24	50	1	1	Calibration_part2	es27	50.4
11	53.3	1.0	92	12	0	12	10	1	1	Calibration_part2	es27	50.4
12	49.9	1.0	49	36	20	36	30	1	1	Calibration_part2	es27	50.4
13	52.2	1.0	61	12	40	12	50	1	1	Calibration_part2	es27	50.4
14	46.6	1.0	52	0	0	0	10	1	1	Calibration_part2	es27	50.4
15	44.3	1.0	48	36	40	36	50	1	1	Calibration_part2	es27	50.4
16	47.7	1.0	45	36	0	36	10	1	1	Calibration_part2	es27	50.4
17	43.2	1.0	39	48	40	48	50	1	1	Calibration_part2	es27	50.4
18	44.3	1.0	52	24	10	24	20	1	1	Calibration_part2	es27	50.4
19	45.4	1.0	12	48	0	48	10	1	1	Calibration_part2	es27	50.4
20	47.7	1.0	67	12	20	12	30	1	1	Calibration_part2	es27	50.4
