Trial	Temperature	ISI	Rating	X1	Y1	X2	Y2	Lasershot1	Lasershot2	Experiment	Subject	temp_65
1	40.0	1.0	50	24	20	24	30	1	1	Calibration_part1	es40	n/a
2	42.0	1.0	0	0	40	0	50	1	1	Calibration_part1	es40	n/a
3	44.0	1.0	10	36	20	36	30	1	1	Calibration_part1	es40	n/a
4	46.0	1.0	12	0	20	0	30	1	1	Calibration_part1	es40	n/a
5	48.0	1.0	15	36	40	36	50	1	1	Calibration_part1	es40	n/a
6	50.0	1.0	19	24	0	24	10	1	1	Calibration_part1	es40	n/a
7	51.0	1.0	26	12	40	12	50	1	1	Calibration_part1	es40	n/a
8	52.0	1.0	25	48	0	48	10	1	1	Calibration_part1	es40	n/a
9	53.0	1.0	26	24	40	24	50	1	1	Calibration_part1	es40	n/a
10	54.0	1.0	26	48	20	48	30	1	1	Calibration_part1	es40	n/a
11	55.0	1.0	31	12	20	12	30	1	1	Calibration_part1	es40	n/a
12	56.0	1.0	38	48	40	48	50	1	1	Calibration_part1	es40	n/a
13	57.0	1.0	37	12	0	12	10	1	1	Calibration_part1	es40	n/a
14	58.0	1.0	38	0	40	0	50	1	1	Calibration_part1	es40	n/a
15	59.0	1.0	42	24	20	24	30	1	1	Calibration_part1	es40	n/a
1	57.2	1.0	38	36	0	36	10	1	1	Calibration_part2	es40	75.1
2	57.7	1.0	26	12	20	12	30	1	1	Calibration_part2	es40	75.1
3	55.0	1.0	19	36	20	36	30	1	1	Calibration_part2	es40	75.1
4	56.8	1.0	19	0	20	0	30	1	1	Calibration_part2	es40	75.1
5	57.2	1.0	32	36	40	36	50	1	1	Calibration_part2	es40	75.1
6	55.4	1.0	16	12	40	12	50	1	1	Calibration_part2	es40	75.1
7	58.6	1.0	19	36	0	36	10	1	1	Calibration_part2	es40	75.1
8	58.6	1.0	28	0	40	0	50	1	1	Calibration_part2	es40	75.1
9	58.1	1.0	35	12	0	12	10	1	1	Calibration_part2	es40	75.1
10	56.8	1.0	25	24	40	24	50	1	1	Calibration_part2	es40	75.1
11	55.9	1.0	17	48	20	48	30	1	1	Calibration_part2	es40	75.1
12	56.3	1.0	18	24	20	24	30	1	1	Calibration_part2	es40	75.1
13	56.3	1.0	0	0	20	0	30	1	1	Calibration_part2	es40	75.1
14	55.0	1.0	16	24	0	24	10	1	1	Calibration_part2	es40	75.1
15	58.1	1.0	19	48	0	48	10	1	1	Calibration_part2	es40	75.1
16	59.0	1.0	21	24	40	24	50	1	1	Calibration_part2	es40	75.1
17	57.7	1.0	3	0	40	0	50	1	1	Calibration_part2	es40	75.1
18	55.4	1.0	4	24	20	24	30	1	1	Calibration_part2	es40	75.1
19	59.0	1.0	11	0	0	0	10	1	1	Calibration_part2	es40	75.1
20	55.9	1.0	5	24	0	24	10	1	1	Calibration_part2	es40	75.1
