Trial	Temperature	ISI	Rating	X1	Y1	X2	Y2	Lasershot1	Lasershot2	Experiment	Subject	temp_65
1	40.0	1.0	n/a	36	20	36	30	-99	0	Calibration_part1	es26	n/a
1	40.0	1.0	9.0	36	20	36	30	1	1	Calibration_part1	es26	n/a
2	42.0	1.0	17.0	0	40	0	50	1	1	Calibration_part1	es26	n/a
3	44.0	1.0	46.0	48	20	48	30	1	1	Calibration_part1	es26	n/a
4	46.0	1.0	44.0	12	0	12	10	1	1	Calibration_part1	es26	n/a
5	48.0	1.0	50.0	0	0	0	10	1	1	Calibration_part1	es26	n/a
6	50.0	1.0	57.0	24	30	24	40	1	1	Calibration_part1	es26	n/a
7	51.0	1.0	57.0	24	0	24	10	1	1	Calibration_part1	es26	n/a
8	52.0	1.0	65.0	36	40	36	50	1	1	Calibration_part1	es26	n/a
9	53.0	1.0	73.0	36	0	36	10	1	1	Calibration_part1	es26	n/a
10	54.0	1.0	78.0	48	40	48	50	1	1	Calibration_part1	es26	n/a
11	55.0	1.0	78.0	0	20	0	30	1	1	Calibration_part1	es26	n/a
12	56.0	1.0	77.0	24	20	24	30	1	1	Calibration_part1	es26	n/a
13	57.0	1.0	75.0	48	0	48	10	1	1	Calibration_part1	es26	n/a
14	58.0	1.0	77.0	0	40	0	50	1	1	Calibration_part1	es26	n/a
15	59.0	1.0	79.0	48	40	48	50	1	1	Calibration_part1	es26	n/a
1	55.5	1.0	70.0	12	20	12	30	1	1	Calibration_part2	es26	54.4
2	56.7	1.0	73.0	36	20	36	30	1	1	Calibration_part2	es26	54.4
3	59.0	1.0	81.0	12	0	12	10	1	1	Calibration_part2	es26	54.4
4	55.5	1.0	63.0	36	0	36	10	1	1	Calibration_part2	es26	54.4
5	57.8	1.0	51.0	48	40	48	50	1	1	Calibration_part2	es26	54.4
6	56.7	1.0	64.0	12	40	12	50	1	1	Calibration_part2	es26	54.4
7	50.9	1.0	44.0	12	0	12	10	1	1	Calibration_part2	es26	54.4
8	49.8	1.0	50.0	36	20	36	30	1	1	Calibration_part2	es26	54.4
9	57.8	1.0	73.0	12	20	12	30	1	1	Calibration_part2	es26	54.4
10	48.6	1.0	58.0	48	20	48	30	1	1	Calibration_part2	es26	54.4
11	53.2	1.0	66.0	0	40	0	50	1	1	Calibration_part2	es26	54.4
12	52.1	1.0	58.0	36	0	36	10	1	1	Calibration_part2	es26	54.4
13	59.0	1.0	83.0	0	0	0	10	1	1	Calibration_part2	es26	54.4
14	53.2	1.0	58.0	12	40	12	50	1	1	Calibration_part2	es26	54.4
15	52.1	1.0	70.0	36	40	36	50	1	1	Calibration_part2	es26	54.4
16	48.6	1.0	45.0	48	0	48	10	1	1	Calibration_part2	es26	54.4
17	54.4	1.0	n/a	24	0	24	10	-99	0	Calibration_part2	es26	54.4
18	50.9	1.0	71.0	48	40	48	50	1	1	Calibration_part2	es26	54.4
19	54.4	1.0	77.0	24	40	24	50	1	1	Calibration_part2	es26	54.4
20	49.8	1.0	52.0	12	0	12	10	1	1	Calibration_part2	es26	54.4
